cliente_id,edad,ingresos,gasto_mensual,compras_mes,region
1,22,1200,850,12,Norte
1,22,1200,,12,Norte
2,25,1500,950,15,Norte
3,28,1800,1100,18,Sur
4,30,2000,1250,20,Sur
5,35,2500,1500,22,Centro
6,40,3000,1800,25,Centro
7,42,3200,1900,27,Norte
8,45,3500,2100,28,Sur
9,48,3800,2300,30,Centro
10,50,4200,2500,32,Norte
11,24,1400,900,14,Sur
12,27,1700,1050,16,Centro
13,32,2200,1350,21,Norte
14,38,2800,1700,24,Centro
15,44,3400,2050,29,Sur
16,29,1900,1150,19,Norte
17,36,2600,1600,23,Centro
18,41,3100,1850,26,Sur
19,47,3700,2250,31,Norte
20,55,4500,2700,35,Centro
21,26,1600,1000,15,Norte
22,33,2300,1400,22,Sur
23,39,2900,1750,24,Centro
24,43,3300,2000,28,Norte
25,60,12000,7000,80,Centro
