cliente_id,edad,ingresos,gasto_mensual,compras_mes,region
1,60,135,920,14,Norte
2,25,1650,1020,17,Norte
3,28,1950,1180,20,Sur
4,30,2200,1320,22,Sur
5,35,2700,1600,24,Centro
6,40,3300,1900,28,Centro
7,42,3500,2050,30,Norte
8,45,3800,2250,32,Sur
9,48,4100,2450,34,Centro
10,50,4500,2700,36,Norte
11,24,1550,980,16,Sur
12,27,1850,1120,18,Centro
13,32,2400,1450,23,Norte
14,38,3100,1800,27,Centro
15,44,3700,2200,33,Sur
16,29,2050,1220,21,Norte
17,36,2850,1680,25,Centro
18,41,3400,1980,29,Sur
19,47,4000,2400,35,Norte
20,55,4900,2900,40,Centro
21,26,1750,1080,17,Norte
22,33,2550,1520,24,Sur
23,39,3200,1880,28,Centro
24,43,3600,2150,31,Norte
25,60,13500,7800,90,Centro
26,52,5200,3100,42,Sur
27,58,6100,3600,48,Norte
28,46,4300,2550,37,Centro
