venta_id,fecha,hora,cliente_id,producto,categoria,cantidad,precio_unitario,subtotal,metodo_pago,empleado,sucursal,dia_semana
1,2026-03-08,09:08,1754,Jugo Natural,Bebidas,2,2.67,5.34,Efectivo,José,Sur,Viernes
2,2026-01-07,09:32,1616,Baguette,Pan,7,1.72,12.04,Efectivo,Sofía,Centro,Sábado
3,2026-05-09,18:55,1006,Jugo Natural,Bebidas,7,2.72,19.04,Efectivo,José,Norte,Miércoles
4,2026-03-04,07:24,1099,Queque Chocolate,Pasteles,3,11.66,34.98,Tarjeta,Carlos,Sur,Miércoles
5,2026-05-04,20:24,1080,Pan Integral,Pan,1,2.25,2.25,SINPE,Carlos,Sur,Viernes
6,2026-06-03,06:42,1233,Muffin,Repostería,6,2.42,14.52,Tarjeta,Ana,Centro,Domingo
7,2026-06-27,11:10,1379,Baguette,Pan,7,1.76,12.32,Tarjeta,Luis,Sur,Miércoles
8,2026-02-18,17:15,1167,Galletas,Repostería,2,3.54,7.08,Tarjeta,María,Norte,Sábado
9,2026-01-08,19:02,1323,Galletas,Repostería,4,3.56,14.24,Tarjeta,Carlos,Centro,Martes
10,2026-04-13,20:58,1658,Muffin,Repostería,6,2.33,13.98,Tarjeta,Luis,Norte,Martes
11,2026-04-19,12:23,1224,Dona,Repostería,5,1.23,6.15,Efectivo,Sofía,Norte,Lunes
12,2026-02-21,08:50,1696,Pan Integral,Pan,1,2.28,2.28,Tarjeta,Sofía,Centro,Jueves
13,2026-05-28,06:43,1738,Empanada Pollo,Salado,8,2.51,20.08,Efectivo,José,Sur,Domingo
14,2026-04-06,13:00,1739,Queque Chocolate,Pasteles,6,11.53,69.18,SINPE,Carlos,Sur,Domingo
15,2026-03-27,16:32,1623,Croissant,Repostería,2,1.56,3.12,Efectivo,Luis,Norte,Domingo
16,2026-04-01,07:59,1371,Croissant,Repostería,1,1.51,1.51,Tarjeta,Luis,Centro,Martes
17,2026-04-27,07:48,1545,Muffin,Repostería,2,2.3,4.6,Efectivo,Luis,Sur,Jueves
18,2026-05-14,09:59,1552,Café,Bebidas,3,1.95,5.85,SINPE,José,Centro,Sábado
19,2026-06-12,13:57,1529,Queque Chocolate,Pasteles,7,12.59,88.13,Tarjeta,Ana,Centro,Martes
20,2026-05-08,15:14,1007,Baguette,Pan,6,1.71,10.26,Efectivo,José,Sur,Lunes
21,2026-03-03,14:15,1285,Dona,Repostería,2,1.25,2.5,SINPE,María,Centro,Viernes
22,2026-04-26,12:12,1096,Croissant,Repostería,8,1.46,11.68,Efectivo,José,Norte,Miércoles
23,2026-06-02,16:41,1661,Empanada Pollo,Salado,7,2.49,17.43,Efectivo,Ana,Norte,Sábado
24,2026-02-18,13:08,1432,Queque Vainilla,Pasteles,2,9.75,19.5,Efectivo,Carlos,Norte,Martes
25,2026-05-04,06:41,1553,Pan Dulce,Pan,2,1.09,2.18,Efectivo,Ana,Centro,Martes
26,2026-04-02,08:24,1002,Empanada Pollo,Salado,8,2.5,20.0,Tarjeta,Carlos,Norte,Miércoles
27,2026-03-07,06:37,1753,Empanada Pollo,Salado,8,2.41,19.28,SINPE,Ana,Sur,Miércoles
28,2026-05-28,14:10,1058,Pan Francés,Pan,1,0.45,0.45,SINPE,Ana,Centro,Lunes
29,2026-02-13,07:56,1583,Capuchino,Bebidas,2,3.26,6.52,Efectivo,Sofía,Sur,Lunes
30,2026-05-19,14:20,1267,Capuchino,Bebidas,2,3.17,6.34,Efectivo,José,Sur,Miércoles
31,2026-06-21,10:29,1323,Dona,Repostería,5,1.19,5.95,Efectivo,Ana,Norte,Viernes
32,2026-02-17,10:08,1357,Capuchino,Bebidas,2,3.06,6.12,Efectivo,Luis,Norte,Miércoles
33,2026-06-10,15:51,1669,Croissant,Repostería,8,1.55,12.4,SINPE,Ana,Sur,Domingo
34,2026-01-05,10:07,1109,Café,Bebidas,5,2.09,10.45,SINPE,Sofía,Centro,Miércoles
35,2026-02-22,16:54,1270,Queque Chocolate,Pasteles,4,12.26,49.04,SINPE,María,Norte,Domingo
36,2026-03-02,06:21,1789,Pan Francés,Pan,2,0.46,0.92,Efectivo,José,Norte,Martes
37,2026-04-18,06:07,1077,Galletas,Repostería,8,3.52,28.16,SINPE,Luis,Sur,Lunes
38,2026-02-14,08:02,1315,Pan Dulce,Pan,6,1.11,6.66,Tarjeta,Ana,Norte,Martes
39,2026-03-25,14:56,1416,Jugo Natural,Bebidas,4,2.85,11.4,SINPE,José,Centro,Martes
40,2026-02-14,06:11,1754,Pan Dulce,Pan,3,1.15,3.45,Tarjeta,María,Sur,Domingo
41,2026-06-04,12:55,1039,Galletas,Repostería,4,3.42,13.68,Tarjeta,Luis,Centro,Domingo
42,2026-02-08,06:42,1197,Muffin,Repostería,8,2.36,18.88,Tarjeta,Carlos,Norte,Domingo
43,2026-05-13,16:53,1549,Baguette,Pan,5,1.77,8.85,Tarjeta,Ana,Centro,Miércoles
44,2026-05-14,11:46,1321,Croissant,Repostería,5,1.43,7.15,Tarjeta,Sofía,Sur,Lunes
45,2026-06-14,06:33,1551,Empanada Pollo,Salado,4,2.44,9.76,SINPE,José,Sur,Sábado
46,2026-01-22,20:21,1638,Jugo Natural,Bebidas,4,2.76,11.04,Tarjeta,José,Centro,Sábado
47,2026-06-14,11:25,1713,Muffin,Repostería,5,2.4,12.0,Tarjeta,Sofía,Centro,Martes
48,2026-02-20,15:19,1415,Empanada Pollo,Salado,7,2.54,17.78,SINPE,Ana,Norte,Miércoles
49,2026-05-21,11:29,1452,Dona,Repostería,7,1.23,8.61,Tarjeta,José,Centro,Viernes
50,2026-03-17,16:40,1634,Empanada Queso,Salado,3,2.34,7.02,Tarjeta,Ana,Centro,Sábado
51,2026-02-01,06:15,1486,Queque Chocolate,Pasteles,4,12.37,49.48,SINPE,Ana,Norte,Jueves
52,2026-04-16,12:15,1151,Muffin,Repostería,4,2.45,9.8,SINPE,José,Centro,Domingo
53,2026-02-06,18:44,1530,Pan Dulce,Pan,2,1.13,2.26,Tarjeta,Ana,Sur,Martes
54,2026-04-22,14:35,1609,Muffin,Repostería,2,2.39,4.78,Tarjeta,María,Sur,Domingo
55,2026-05-15,20:10,1761,Galletas,Repostería,7,3.62,25.34,Tarjeta,María,Norte,Domingo
56,2026-05-16,16:15,1281,Dona,Repostería,5,1.23,6.15,Tarjeta,Ana,Sur,Miércoles
57,2026-05-03,08:09,1236,Dona,Repostería,5,1.18,5.9,Tarjeta,José,Centro,Sábado
58,2026-03-18,13:26,1063,Dona,Repostería,2,1.19,2.38,Efectivo,María,Norte,Domingo
59,2026-05-13,13:00,1360,Capuchino,Bebidas,1,3.31,3.31,Tarjeta,María,Norte,Viernes
60,2026-03-14,13:01,1398,Galletas,Repostería,4,3.5,14.0,Tarjeta,José,Sur,Domingo
61,2026-02-20,14:01,1403,Empanada Pollo,Salado,3,2.59,7.77,SINPE,Sofía,Sur,Lunes
62,2026-04-06,06:16,1388,Baguette,Pan,7,1.73,12.11,Tarjeta,Luis,Norte,Miércoles
63,2026-04-09,19:05,1481,Queque Vainilla,Pasteles,7,9.78,68.46,Efectivo,José,Sur,Lunes
64,2026-06-02,18:01,1253,Queque Vainilla,Pasteles,4,10.15,40.6,Efectivo,Ana,Sur,Martes
65,2026-01-19,09:29,1716,Dona,Repostería,3,1.2,3.6,Tarjeta,Carlos,Centro,Viernes
66,2026-02-10,07:37,1026,Capuchino,Bebidas,2,3.29,6.58,Tarjeta,Sofía,Sur,Jueves
67,2026-06-27,16:15,1104,Empanada Pollo,Salado,4,2.39,9.56,SINPE,Carlos,Sur,Viernes
68,2026-05-26,06:22,1545,Pan Integral,Pan,2,2.27,4.54,Tarjeta,José,Norte,Lunes
69,2026-04-27,13:06,1443,Café,Bebidas,6,1.9,11.4,Tarjeta,José,Norte,Sábado
70,2026-05-21,10:39,1551,Croissant,Repostería,7,1.45,10.15,Tarjeta,María,Norte,Domingo
71,2026-02-27,20:05,1285,Galletas,Repostería,5,3.44,17.2,Tarjeta,Luis,Norte,Viernes
72,2026-04-28,11:11,1499,Capuchino,Bebidas,7,3.15,22.05,Efectivo,Carlos,Norte,Miércoles
73,2026-05-07,07:15,1737,Queque Chocolate,Pasteles,5,12.07,60.35,Tarjeta,María,Sur,Domingo
74,2026-04-15,18:01,1095,Dona,Repostería,8,1.22,9.76,Tarjeta,Luis,Norte,Sábado
75,2026-03-16,14:33,1352,Dona,Repostería,5,1.22,6.1,Tarjeta,José,Sur,Miércoles
76,2026-03-08,07:46,1197,Queque Vainilla,Pasteles,8,9.77,78.16,Tarjeta,Ana,Sur,Viernes
77,2026-06-16,10:46,1603,Pan Integral,Pan,3,2.13,6.39,SINPE,Sofía,Norte,Lunes
78,2026-03-06,10:00,1725,Pan Dulce,Pan,4,1.08,4.32,SINPE,Luis,Norte,Lunes
79,2026-02-21,19:48,1502,Pan Francés,Pan,5,0.46,2.3,Efectivo,Ana,Sur,Miércoles
80,2026-02-02,10:55,1489,Empanada Queso,Salado,8,2.29,18.32,Efectivo,Ana,Norte,Jueves
